source_h,component,effect_type,mean,ci_low,ci_high,residual_reference,fraction_of_residual
18,Q,sufficiency,-0.00047573354095220566,-0.0012615825980901718,0.0003033410602559642,0.041500091552734375,-0.011463433528759536
18,Q,necessity_loss,-0.0006583010156949362,-0.0016616277086238067,0.00035788749810308144,0.041500091552734375,-0.015862640082574993
18,K,sufficiency,0.005617826556166013,0.004475267782496909,0.0068120093628143245,0.041500091552734375,0.13536901597017956
18,K,necessity_loss,0.002305832381049792,0.0010651446568469207,0.0035448810939366603,0.041500091552734375,0.055562103474392555
18,V,sufficiency,0.011800084883968035,0.010112690141734978,0.013450198348922034,0.041500091552734375,0.28433876751750314
18,V,necessity_loss,0.008806325495243073,0.006846959221487244,0.010676744913992777,0.041500091552734375,0.21220014621058922
18,KV,sufficiency,0.015950158548851807,0.014123744323539238,0.01769913036841899,0.041500091552734375,0.38434032196251566
18,KV,necessity_loss,0.014324796386063099,0.011912128484497467,0.0166004986812671,0.041500091552734375,0.34517505504440893
18,QKV,sufficiency,0.015470047481358051,0.01348957159401228,0.017445239680819208,0.041500091552734375,0.3727714060991934
18,QKV,necessity_loss,0.01452379177014033,0.012170598617133994,0.01681044927487771,0.041500091552734375,0.34997011396191435
19,Q,sufficiency,0.008220172487199306,0.005961068836040795,0.010417381480025748,0.030457771693666775,0.2698875206589248
19,Q,necessity_loss,0.004873629038532575,0.0026162654937555395,0.007215255886937174,0.030457771693666775,0.16001265908582443
19,K,sufficiency,0.00017563067376613617,-0.0011164898751303554,0.0015414987690746782,0.030457771693666775,0.0057663664805346175
19,K,necessity_loss,0.00616916020711263,0.004448322424044212,0.007924488047137855,0.030457771693666775,0.20254798247093736
19,V,sufficiency,0.009579332855840525,0.007592897241314252,0.011534909298643469,0.030457771693666775,0.3145119397500901
19,V,necessity_loss,0.01399320208777984,0.012417735516404111,0.01554827147629112,0.030457771693666775,0.4594296072778532
19,KV,sufficiency,0.014139099977910519,0.01249910524735848,0.01568302574257056,0.030457771693666775,0.46421977681481297
19,KV,necessity_loss,0.012280666579802832,0.010448003676719964,0.014139701852885385,0.030457771693666775,0.40320305448859894
19,QKV,sufficiency,0.019977564302583534,0.017892449155139427,0.022210347458409767,0.030457771693666775,0.6559102387236543
19,QKV,necessity_loss,0.019469875221451122,0.017175751621834934,0.02189547197582821,0.030457771693666775,0.6392416167956103
20,Q,sufficiency,-0.004576736440261205,-0.00597488690012445,-0.0032226928432161623,0.04879554764678081,-0.09379414026441706
20,Q,necessity_loss,-0.005694219842553139,-0.007190880870136122,-0.0040974457748234275,0.04879554764678081,-0.11669547975508383
20,K,sufficiency,8.864731838305791e-05,-0.0009775793955971797,0.0011651965401445802,0.04879554764678081,0.001816709160121625
20,K,necessity_loss,0.0012301265572508175,8.810138485083977e-05,0.0024258426933859776,0.04879554764678081,0.025209811480248295
20,V,sufficiency,0.04344554773221413,0.04075507110295196,0.04632481363757203,0.04879554764678081,0.8903588509079959
20,V,necessity_loss,0.043759024081130825,0.04053333677972356,0.0468942590833952,0.04879554764678081,0.8967831327130876
20,KV,sufficiency,0.046039726895590626,0.04270665131043643,0.04936382720091691,0.04879554764678081,0.9435231105276468
20,KV,necessity_loss,0.044343833501140274,0.04085616368489961,0.047932682543372115,0.04879554764678081,0.9087680257660921
20,QKV,sufficiency,0.0407846641416351,0.03744140954998632,0.04400573128368705,0.04879554764678081,0.8358275725659529
20,QKV,necessity_loss,0.03931715339422226,0.03567040654209753,0.042986481629001594,0.04879554764678081,0.8057528871041604
