config,donor_type,family,boundary,mean_signed_transfer,ci_low,ci_high,num_tasks
full_H15_H20,opposite_cross_wording,control,20,0.08307218831032515,0.07740004844187448,0.08900578556737553,48
full_H15_H20,opposite_same_wording,prefix,20,0.07839944617201884,0.0717611983185634,0.08519610157236457,48
full_H15_H20,same_state_cross_wording,control,20,0.0021358467638492584,0.0011043458478525283,0.003184622945263982,48
full_H15_H20,self,control,20,-8.458209534486134e-05,-0.000508988283885022,0.0003221728528539338,48
prefix_H15_H16,opposite_same_wording,prefix,16,-0.009776288333038488,-0.011965531134046616,-0.0077515932808940625,48
prefix_H15_H17,opposite_same_wording,prefix,17,0.008355050658186277,0.0056917355861514805,0.010803509806282818,48
prefix_H15_H18,opposite_same_wording,prefix,18,0.04403064244737228,0.03898761216551065,0.0490127608568097,48
prefix_H15_H19,opposite_same_wording,prefix,19,0.0516418165837725,0.04618231586646289,0.057119272920923926,48
single_H15,opposite_same_wording,single,15,-0.015800716355443,-0.017076062581812344,-0.01454348963064452,48
single_H16,opposite_same_wording,single,16,-0.010085508848230043,-0.012214407549860576,-0.007979611780804892,48
single_H17,opposite_same_wording,single,17,0.006299156074722608,0.004048709392858048,0.008505724417045711,48
single_H18,opposite_same_wording,single,18,0.041500091552734375,0.0367819386612003,0.04620489416023095,48
single_H19,opposite_same_wording,single,19,0.030457771693666775,0.02647634393845995,0.034450007424068944,48
single_H20,opposite_cross_wording,control,20,0.046174341812729836,0.041419521595040955,0.05084537738002837,48
single_H20,opposite_same_wording,single,20,0.04879554764678081,0.04396461096281807,0.05362814960535616,48
single_H20,same_state_cross_wording,control,20,0.005184619377056758,0.004057744851646324,0.006278432176137964,48
single_H20,self,control,20,-0.0002216740200916926,-0.0006668759354700645,0.00018880842253565767,48
suffix_H16_H20,opposite_same_wording,suffix,16,0.0781953592474262,0.07171777750675877,0.08499234493356198,48
suffix_H17_H20,opposite_same_wording,suffix,17,0.07580743792156379,0.06920350179231415,0.0829215879474456,48
suffix_H18_H20,opposite_same_wording,suffix,18,0.07602739613503218,0.06987919006496668,0.08230244250347217,48
suffix_H19_H20,opposite_same_wording,suffix,19,0.05730359380443891,0.051917776946599284,0.06309283589168141,48
