task_id,family,wording,label,margin,signed
exp12_test_edit_00,test_edit,canonical,0,-1.6570365130901337,1.6570365130901337
exp12_test_edit_00,test_edit,paraphrase,0,-1.7303710728883743,1.7303710728883743
exp12_test_edit_00,test_edit,canonical,1,0.4892909824848175,0.4892909824848175
exp12_test_edit_00,test_edit,paraphrase,1,0.43590712547302246,0.43590712547302246
exp12_test_edit_01,test_edit,canonical,0,-1.6930244117975235,1.6930244117975235
exp12_test_edit_01,test_edit,paraphrase,0,-1.727869190275669,1.727869190275669
exp12_test_edit_01,test_edit,canonical,1,0.5435411185026169,0.5435411185026169
exp12_test_edit_01,test_edit,paraphrase,1,0.4603165090084076,0.4603165090084076
exp12_test_edit_02,test_edit,canonical,0,-1.6314623802900314,1.6314623802900314
exp12_test_edit_02,test_edit,paraphrase,0,-1.69625473767519,1.69625473767519
exp12_test_edit_02,test_edit,canonical,1,0.4971907138824463,0.4971907138824463
exp12_test_edit_02,test_edit,paraphrase,1,0.42287278175354004,0.42287278175354004
exp12_test_edit_03,test_edit,canonical,0,-1.5204872339963913,1.5204872339963913
exp12_test_edit_03,test_edit,paraphrase,0,-1.5939616225659847,1.5939616225659847
exp12_test_edit_03,test_edit,canonical,1,0.48540449142456055,0.48540449142456055
exp12_test_edit_03,test_edit,paraphrase,1,0.3802124559879303,0.3802124559879303
exp12_test_edit_04,test_edit,canonical,0,-1.4975439831614494,1.4975439831614494
exp12_test_edit_04,test_edit,paraphrase,0,-1.5670755580067635,1.5670755580067635
exp12_test_edit_04,test_edit,canonical,1,0.4607648402452469,0.4607648402452469
exp12_test_edit_04,test_edit,paraphrase,1,0.36560192704200745,0.36560192704200745
exp12_test_edit_05,test_edit,canonical,0,-1.6705271303653717,1.6705271303653717
exp12_test_edit_05,test_edit,paraphrase,0,-1.719646044075489,1.719646044075489
exp12_test_edit_05,test_edit,canonical,1,0.5084251314401627,0.5084251314401627
exp12_test_edit_05,test_edit,paraphrase,1,0.4026644229888916,0.4026644229888916
exp12_test_edit_06,test_edit,canonical,0,-1.6762966811656952,1.6762966811656952
exp12_test_edit_06,test_edit,paraphrase,0,-1.7365907952189445,1.7365907952189445
exp12_test_edit_06,test_edit,canonical,1,0.4785126596689224,0.4785126596689224
exp12_test_edit_06,test_edit,paraphrase,1,0.36441195011138916,0.36441195011138916
exp12_test_edit_07,test_edit,canonical,0,-1.6352083459496498,1.6352083459496498
exp12_test_edit_07,test_edit,paraphrase,0,-1.7079746648669243,1.7079746648669243
exp12_test_edit_07,test_edit,canonical,1,0.5187574923038483,0.5187574923038483
exp12_test_edit_07,test_edit,paraphrase,1,0.4200460612773895,0.4200460612773895
exp12_test_edit_08,test_edit,canonical,0,-1.6435757875442505,1.6435757875442505
exp12_test_edit_08,test_edit,paraphrase,0,-1.715855933725834,1.715855933725834
exp12_test_edit_08,test_edit,canonical,1,0.5094591528177261,0.5094591528177261
exp12_test_edit_08,test_edit,paraphrase,1,0.4158085286617279,0.4158085286617279
exp12_test_edit_09,test_edit,canonical,0,-1.5073797479271889,1.5073797479271889
exp12_test_edit_09,test_edit,paraphrase,0,-1.559401549398899,1.559401549398899
exp12_test_edit_09,test_edit,canonical,1,0.4184335321187973,0.4184335321187973
exp12_test_edit_09,test_edit,paraphrase,1,0.3467848598957062,0.3467848598957062
exp12_test_edit_10,test_edit,canonical,0,-1.5092823952436447,1.5092823952436447
exp12_test_edit_10,test_edit,paraphrase,0,-1.5725592523813248,1.5725592523813248
exp12_test_edit_10,test_edit,canonical,1,0.4815032184123993,0.4815032184123993
exp12_test_edit_10,test_edit,paraphrase,1,0.36813226342201233,0.36813226342201233
exp12_test_edit_11,test_edit,canonical,0,-1.4792520478367805,1.4792520478367805
exp12_test_edit_11,test_edit,paraphrase,0,-1.5257519856095314,1.5257519856095314
exp12_test_edit_11,test_edit,canonical,1,0.46596890687942505,0.46596890687942505
exp12_test_edit_11,test_edit,paraphrase,1,0.35512682795524597,0.35512682795524597
exp12_test_edit_12,test_edit,canonical,0,-1.4967549294233322,1.4967549294233322
exp12_test_edit_12,test_edit,paraphrase,0,-1.554666094481945,1.554666094481945
exp12_test_edit_12,test_edit,canonical,1,0.44196659326553345,0.44196659326553345
exp12_test_edit_12,test_edit,paraphrase,1,0.3358510434627533,0.3358510434627533
exp12_test_edit_13,test_edit,canonical,0,-1.6333491802215576,1.6333491802215576
exp12_test_edit_13,test_edit,paraphrase,0,-1.687940500676632,1.687940500676632
exp12_test_edit_13,test_edit,canonical,1,0.499335378408432,0.499335378408432
exp12_test_edit_13,test_edit,paraphrase,1,0.38389554619789124,0.38389554619789124
exp12_test_edit_14,test_edit,canonical,0,-1.4918844625353813,1.4918844625353813
exp12_test_edit_14,test_edit,paraphrase,0,-1.5709797702729702,1.5709797702729702
exp12_test_edit_14,test_edit,canonical,1,0.4540691375732422,0.4540691375732422
exp12_test_edit_14,test_edit,paraphrase,1,0.37566158175468445,0.37566158175468445
exp12_test_edit_15,test_edit,canonical,0,-1.6283581405878067,1.6283581405878067
exp12_test_edit_15,test_edit,paraphrase,0,-1.7082628905773163,1.7082628905773163
exp12_test_edit_15,test_edit,canonical,1,0.5330940037965775,0.5330940037965775
exp12_test_edit_15,test_edit,paraphrase,1,0.4543934464454651,0.4543934464454651
exp12_search_edit_00,search_edit,canonical,0,-1.008101761341095,1.008101761341095
exp12_search_edit_00,search_edit,paraphrase,0,-1.2132350504398346,1.2132350504398346
exp12_search_edit_00,search_edit,canonical,1,2.15621854364872,2.15621854364872
exp12_search_edit_00,search_edit,paraphrase,1,2.1314408257603645,2.1314408257603645
exp12_search_edit_01,search_edit,canonical,0,-0.9980908632278442,0.9980908632278442
exp12_search_edit_01,search_edit,paraphrase,0,-1.2271652221679688,1.2271652221679688
exp12_search_edit_01,search_edit,canonical,1,2.1160628497600555,2.1160628497600555
exp12_search_edit_01,search_edit,paraphrase,1,2.1880853846669197,2.1880853846669197
exp12_search_edit_02,search_edit,canonical,0,-0.989464521408081,0.989464521408081
exp12_search_edit_02,search_edit,paraphrase,0,-1.174469530582428,1.174469530582428
exp12_search_edit_02,search_edit,canonical,1,2.1965616196393967,2.1965616196393967
exp12_search_edit_02,search_edit,paraphrase,1,2.1621218547225,2.1621218547225
exp12_search_edit_03,search_edit,canonical,0,-0.8372830152511597,0.8372830152511597
exp12_search_edit_03,search_edit,paraphrase,0,-1.0394927263259888,1.0394927263259888
exp12_search_edit_03,search_edit,canonical,1,2.1424600780010223,2.1424600780010223
exp12_search_edit_03,search_edit,paraphrase,1,2.0914081260561943,2.0914081260561943
exp12_search_edit_04,search_edit,canonical,0,-0.8781241774559021,0.8781241774559021
exp12_search_edit_04,search_edit,paraphrase,0,-1.1101621687412262,1.1101621687412262
exp12_search_edit_04,search_edit,canonical,1,2.108331933617592,2.108331933617592
exp12_search_edit_04,search_edit,paraphrase,1,2.135579653084278,2.135579653084278
