task_id,family,wording,label,anchor,L,k,suff,nec
exp12_test_edit_09,test_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.0035979747772216797,0.0047067999839782715
exp12_test_edit_15,test_edit,canonical,0,USER_END,3,0,-0.008732840418815613,0.007461726665496826
exp12_test_edit_15,test_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.008732840418815613,0.007461726665496826
exp12_test_edit_15,test_edit,paraphrase,0,USER_END,3,0,-0.002062283456325531,0.00324220210313797
exp12_test_edit_15,test_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.002062283456325531,0.00324220210313797
exp12_test_edit_15,test_edit,canonical,1,USER_END,3,0,-0.002006843686103821,-0.029157936573028564
exp12_test_edit_15,test_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.002006843686103821,-0.029157936573028564
exp12_test_edit_15,test_edit,paraphrase,1,USER_END,3,0,0.0030025839805603027,0.0017191767692565918
exp12_test_edit_15,test_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.0030025839805603027,0.0017191767692565918
exp12_search_edit_01,search_edit,canonical,0,USER_END,3,0,-0.011698782444000244,-0.004626631736755371
exp12_search_edit_01,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.011698782444000244,-0.004626631736755371
exp12_search_edit_01,search_edit,paraphrase,0,USER_END,3,0,0.004665285348892212,0.009272336959838867
exp12_search_edit_01,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.004665285348892212,0.009272336959838867
exp12_search_edit_01,search_edit,canonical,1,USER_END,3,0,0.0029879212379455566,-0.00018455088138580322
exp12_search_edit_01,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,0.0029879212379455566,-0.00018455088138580322
exp12_search_edit_01,search_edit,paraphrase,1,USER_END,3,0,0.028457388281822205,0.0015890523791313171
exp12_search_edit_01,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.028457388281822205,0.0015890523791313171
exp12_search_edit_03,search_edit,canonical,0,USER_END,3,0,-0.0028207898139953613,-0.005678832530975342
exp12_search_edit_03,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.0028207898139953613,-0.005678832530975342
exp12_search_edit_03,search_edit,paraphrase,0,USER_END,3,0,-0.006341814994812012,-0.005679309368133545
exp12_search_edit_03,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.006341814994812012,-0.005679309368133545
exp12_search_edit_03,search_edit,canonical,1,USER_END,3,0,-0.016712993383407593,0.00014255940914154053
exp12_search_edit_03,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.016712993383407593,0.00014255940914154053
exp12_search_edit_03,search_edit,paraphrase,1,USER_END,3,0,-0.0012324899435043335,-0.0026393570005893707
exp12_search_edit_03,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,-0.0012324899435043335,-0.0026393570005893707
exp12_search_edit_05,search_edit,canonical,0,USER_END,3,0,0.007777512073516846,0.009356081485748291
exp12_search_edit_05,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,0.007777512073516846,0.009356081485748291
exp12_search_edit_05,search_edit,paraphrase,0,USER_END,3,0,0.007753312587738037,0.020142823457717896
