task_id,family,wording,label,head,suff,nec
exp12_test_edit_00,test_edit,canonical,1,17,-0.0014440268278121948,4.914402961730957e-05
exp12_test_edit_00,test_edit,canonical,1,18,0.004237160086631775,0.010438978672027588
exp12_test_edit_00,test_edit,canonical,1,19,-0.02128671109676361,-0.024140268564224243
exp12_test_edit_00,test_edit,canonical,1,20,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,21,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,22,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,23,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,24,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,25,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,26,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,27,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,28,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,29,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,30,-0.0,0.0
exp12_test_edit_00,test_edit,canonical,1,31,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,0,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,1,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,2,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,3,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,4,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,5,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,6,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,7,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,8,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,9,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,10,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,11,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,12,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,13,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,14,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,15,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,16,0.21983516216278076,0.20272016525268555
exp12_test_edit_00,test_edit,paraphrase,1,17,-0.0007188022136688232,-0.0015447437763214111
exp12_test_edit_00,test_edit,paraphrase,1,18,0.009862303733825684,0.01685449481010437
exp12_test_edit_00,test_edit,paraphrase,1,19,-0.025792032480239868,-0.04420602321624756
exp12_test_edit_00,test_edit,paraphrase,1,20,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,21,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,22,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,23,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,24,-0.0,0.0
