fold,group,rank,hidden_state_index,head_index,impact_score,recovery_ratio,aligned_mean,donor_energy_mean,o_proj_head_block_norm
0,top16,1,24,10,41.43503952026367,0.7745003700256348,11.77683162689209,15.20571517944336,13.719639778137207
0,top16,2,24,17,32.16674041748047,0.6667333841323853,7.3597869873046875,11.038576126098633,14.5210599899292
0,top16,3,28,13,26.503040313720703,0.7470223903656006,7.492650508880615,10.030021667480469,11.202401161193848
0,top16,4,28,10,26.158994674682617,0.7442326545715332,7.40001106262207,9.94314193725586,11.146807670593262
0,top16,5,28,12,24.34187126159668,0.7340096235275269,6.861155033111572,9.34749984741211,10.846871376037598
0,top16,6,27,22,20.415870666503906,0.8843980431556702,2.034184455871582,2.3000779151916504,15.221199989318848
0,top16,7,24,20,18.622589111328125,0.9332369565963745,1.3714700937271118,1.4695839881896973,16.460800170898438
0,top16,8,25,18,18.20395278930664,0.8786044120788574,1.584409475326538,1.8033251762390137,15.428912162780762
0,top16,9,28,11,18.167232513427734,0.6432129740715027,4.307134628295898,6.6962809562683105,10.914834022521973
0,top16,10,26,24,17.915634155273438,0.8019456267356873,1.8498026132583618,2.306643486022949,14.70946979522705
0,top16,11,25,24,17.729389190673828,0.8437848091125488,1.2077429294586182,1.431339979171753,17.56267547607422
0,top16,12,27,15,16.78791618347168,0.6527253985404968,1.752068042755127,2.684234619140625,15.698424339294434
0,top16,13,23,24,16.710411071777344,0.719867467880249,2.6025097370147705,3.615262269973755,12.208566665649414
0,top16,14,25,21,15.709356307983398,0.6717743873596191,1.9305280447006226,2.873774290084839,13.794584274291992
0,top16,15,23,27,15.407838821411133,0.791505753993988,2.089108467102051,2.6394102573394775,11.982134819030762
0,top16,16,27,18,15.153721809387207,0.600078284740448,1.716443657875061,2.8603663444519043,14.931401252746582
0,top4,1,24,10,41.43503952026367,0.7745003700256348,11.77683162689209,15.20571517944336,13.719639778137207
0,top4,2,24,17,32.16674041748047,0.6667333841323853,7.3597869873046875,11.038576126098633,14.5210599899292
0,top4,3,28,13,26.503040313720703,0.7470223903656006,7.492650508880615,10.030021667480469,11.202401161193848
0,top4,4,28,10,26.158994674682617,0.7442326545715332,7.40001106262207,9.94314193725586,11.146807670593262
0,top32,1,24,10,41.43503952026367,0.7745003700256348,11.77683162689209,15.20571517944336,13.719639778137207
0,top32,2,24,17,32.16674041748047,0.6667333841323853,7.3597869873046875,11.038576126098633,14.5210599899292
0,top32,3,28,13,26.503040313720703,0.7470223903656006,7.492650508880615,10.030021667480469,11.202401161193848
0,top32,4,28,10,26.158994674682617,0.7442326545715332,7.40001106262207,9.94314193725586,11.146807670593262
0,top32,5,28,12,24.34187126159668,0.7340096235275269,6.861155033111572,9.34749984741211,10.846871376037598
0,top32,6,27,22,20.415870666503906,0.8843980431556702,2.034184455871582,2.3000779151916504,15.221199989318848
0,top32,7,24,20,18.622589111328125,0.9332369565963745,1.3714700937271118,1.4695839881896973,16.460800170898438
0,top32,8,25,18,18.20395278930664,0.8786044120788574,1.584409475326538,1.8033251762390137,15.428912162780762
0,top32,9,28,11,18.167232513427734,0.6432129740715027,4.307134628295898,6.6962809562683105,10.914834022521973
0,top32,10,26,24,17.915634155273438,0.8019456267356873,1.8498026132583618,2.306643486022949,14.70946979522705
