config,donor_type,mean_signed_transfer,bootstrap_ci_low,bootstrap_ci_high,num_tasks
common_H15_H28,opposite_same_wording,0.07962526256839435,0.07310273302718998,0.08627723596679666,48
common_H19,opposite_same_wording,0.030539071808258694,0.026626669297305245,0.034476657118648286,48
common_H19_H24,opposite_same_wording,0.0557711161673069,0.05017014786911508,0.06151842402759939,48
common_H19_H28,opposite_cross_wording,0.05713566392660141,0.05136974226528158,0.06269266138163707,48
common_H19_H28,opposite_same_wording,0.05787198587010304,0.0523347958146284,0.06359796039760111,48
common_H19_H28,same_state_cross_wording,-2.3665837943553925e-05,-0.0009880570461973548,0.000912675284780561,48
common_H19_H28,self,-0.00026674071947733563,-0.000574037292972207,7.595975572864082e-06,48
common_H21_H28,opposite_same_wording,-0.00023558704803387323,-0.003761585669902464,0.003317583111735679,48
last1_H19,opposite_same_wording,0.0011463615422447522,0.00025427926642199357,0.002095457864925265,48
