hidden_state_index,decoder_layer_index,task_idx,task_id,condition,wording,recipient_label,donor_label,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
1,0,0,task_000,canonical_test,canonical,0,1,-0.027992963790893555,-0.027878761291503906,0.00011420249938964844,0.00011420249938964844
1,0,0,task_000,canonical_impl,canonical,1,0,0.36184680461883545,0.37010765075683594,0.008260846138000488,-0.008260846138000488
1,0,0,task_000,paraphrase_test,paraphrase,0,1,0.1256169080734253,0.12455296516418457,-0.0010639429092407227,-0.0010639429092407227
1,0,0,task_000,paraphrase_impl,paraphrase,1,0,0.3675185441970825,0.3590702414512634,-0.008448302745819092,0.008448302745819092
1,0,1,task_001,canonical_test,canonical,0,1,0.10543620586395264,0.09921962022781372,-0.006216585636138916,-0.006216585636138916
1,0,1,task_001,canonical_impl,canonical,1,0,0.28898221254348755,0.2905718684196472,0.001589655876159668,-0.001589655876159668
1,0,1,task_001,paraphrase_test,paraphrase,0,1,0.12856131792068481,0.131849467754364,0.0032881498336791992,0.0032881498336791992
1,0,1,task_001,paraphrase_impl,paraphrase,1,0,0.31440889835357666,0.3251153826713562,0.010706484317779541,-0.010706484317779541
1,0,2,task_002,canonical_test,canonical,0,1,-0.07738637924194336,-0.0671776533126831,0.010208725929260254,0.010208725929260254
1,0,2,task_002,canonical_impl,canonical,1,0,0.14630252122879028,0.1583244800567627,0.012021958827972412,-0.012021958827972412
1,0,2,task_002,paraphrase_test,paraphrase,0,1,0.026005864143371582,0.026699542999267578,0.0006936788558959961,0.0006936788558959961
1,0,2,task_002,paraphrase_impl,paraphrase,1,0,0.1809448003768921,0.18672919273376465,0.005784392356872559,-0.005784392356872559
1,0,3,task_003,canonical_test,canonical,0,1,0.244642972946167,0.24518144130706787,0.0005384683609008789,0.0005384683609008789
1,0,3,task_003,canonical_impl,canonical,1,0,0.5069242119789124,0.5212886929512024,0.014364480972290039,-0.014364480972290039
1,0,3,task_003,paraphrase_test,paraphrase,0,1,0.3604587912559509,0.36873650550842285,0.008277714252471924,0.008277714252471924
1,0,3,task_003,paraphrase_impl,paraphrase,1,0,0.5952398180961609,0.593152642250061,-0.0020871758460998535,0.0020871758460998535
1,0,4,task_004,canonical_test,canonical,0,1,-0.09492921829223633,-0.09456944465637207,0.0003597736358642578,0.0003597736358642578
1,0,4,task_004,canonical_impl,canonical,1,0,0.04638153314590454,0.049119532108306885,0.0027379989624023438,-0.0027379989624023438
1,0,4,task_004,paraphrase_test,paraphrase,0,1,-0.09847128391265869,-0.0992087721824646,-0.0007374882698059082,-0.0007374882698059082
1,0,4,task_004,paraphrase_impl,paraphrase,1,0,0.00019937753677368164,0.007608890533447266,0.007409512996673584,-0.007409512996673584
1,0,5,task_005,canonical_test,canonical,0,1,0.20281684398651123,0.20295262336730957,0.00013577938079833984,0.00013577938079833984
1,0,5,task_005,canonical_impl,canonical,1,0,0.3670036196708679,0.36756432056427,0.0005607008934020996,-0.0005607008934020996
1,0,5,task_005,paraphrase_test,paraphrase,0,1,0.30987393856048584,0.30149412155151367,-0.008379817008972168,-0.008379817008972168
1,0,5,task_005,paraphrase_impl,paraphrase,1,0,0.4311567544937134,0.4321945905685425,0.0010378360748291016,-0.0010378360748291016
1,0,6,task_006,canonical_test,canonical,0,1,-0.0008198022842407227,-0.002604842185974121,-0.0017850399017333984,-0.0017850399017333984
1,0,6,task_006,canonical_impl,canonical,1,0,0.3120344877243042,0.31054139137268066,-0.0014930963516235352,0.0014930963516235352
