task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
1,task_001,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,114,0.13086384534835815,0.12859410047531128,-0.002269744873046875,-0.002269744873046875
1,task_001,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,114,0.3174154758453369,0.3087623119354248,-0.00865316390991211,0.00865316390991211
1,task_001,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,121,0.10810762643814087,0.14456313848495483,0.036455512046813965,0.036455512046813965
1,task_001,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,121,0.29177290201187134,0.24441677331924438,-0.04735612869262695,0.04735612869262695
1,task_001,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,114,0.13086384534835815,0.23709988594055176,0.1062360405921936,0.1062360405921936
1,task_001,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,114,0.3174154758453369,0.1926891803741455,-0.1247262954711914,0.1247262954711914
1,task_001,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,287,0.10810762643814087,0.10810762643814087,0.0,0.0
1,task_001,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,287,0.29177290201187134,0.29177290201187134,0.0,0.0
1,task_001,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,271,0.13086384534835815,0.13086384534835815,0.0,0.0
1,task_001,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,271,0.3174154758453369,0.3174154758453369,0.0,0.0
1,task_001,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,87,0.10810762643814087,0.049624741077423096,-0.05848288536071777,0.05848288536071777
1,task_001,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,87,0.29177290201187134,0.3104168176651001,0.01864391565322876,0.01864391565322876
1,task_001,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,87,0.13086384534835815,0.15170371532440186,0.0208398699760437,-0.0208398699760437
1,task_001,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,87,0.3174154758453369,0.27926206588745117,-0.03815340995788574,-0.03815340995788574
1,task_001,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,87,0.10810762643814087,0.14379572868347168,0.03568810224533081,0.03568810224533081
1,task_001,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,87,0.29177290201187134,0.16514098644256592,-0.12663191556930542,0.12663191556930542
1,task_001,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,87,0.13086384534835815,0.20595723390579224,0.07509338855743408,0.07509338855743408
1,task_001,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,87,0.3174154758453369,0.2206621766090393,-0.09675329923629761,0.09675329923629761
2,task_002,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,120,-0.06389319896697998,0.027852177619934082,0.09174537658691406,0.09174537658691406
2,task_002,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,120,0.14784175157546997,0.04853379726409912,-0.09930795431137085,0.09930795431137085
2,task_002,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,113,0.02762281894683838,0.1421051025390625,0.11448228359222412,0.11448228359222412
2,task_002,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,113,0.18815743923187256,0.07973825931549072,-0.10841917991638184,0.10841917991638184
2,task_002,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,120,-0.06389319896697998,-0.09044206142425537,-0.02654886245727539,-0.02654886245727539
2,task_002,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,120,0.14784175157546997,0.1727811098098755,0.024939358234405518,-0.024939358234405518
