layer,no_skill_f1,no_skill_std,correct_skill_f1,correct_skill_std,shuffled_skill_f1,shuffled_skill_std,order_delta_f1,order_delta_std
0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0
1,0.7472222222222222,0.0676433092326996,0.726388888888889,0.14149635732343951,0.7194444444444444,0.2092572107405467,0.45972222222222214,0.16203637566002585
2,0.7763888888888889,0.11549510972491593,0.7763888888888889,0.11549510972491593,0.7472222222222222,0.16280242513436224,0.4168650793650793,0.14557746693362536
3,0.8152777777777777,0.10433320021290762,0.7194444444444444,0.2092572107405467,0.6805555555555556,0.1769730048466275,0.4363095238095238,0.1735741457245173
4,0.775,0.11768733424619367,0.7472222222222222,0.16280242513436224,0.7250000000000001,0.1438824537385541,0.4041666666666667,0.24668715505501254
5,0.7972222222222222,0.1320248293146238,0.7000000000000001,0.20652922550490116,0.6972222222222223,0.1917069200886513,0.4188492063492063,0.23991787497953102
6,0.775,0.11768733424619367,0.663888888888889,0.10861785997787307,0.663888888888889,0.10861785997787307,0.49742063492063493,0.1679911234967376
7,0.8083333333333333,0.13179084626973842,0.6847222222222222,0.12737708914677778,0.7166666666666667,0.14234586639243285,0.4208333333333334,0.23048442677902192
8,0.7861111111111112,0.11950902646832752,0.6666666666666667,0.13431352670818428,0.7333333333333334,0.16855412729197852,0.4208333333333334,0.23048442677902192
9,0.7652777777777778,0.10186342526838284,0.6902777777777779,0.18360144536669845,0.6652777777777779,0.17596186280127246,0.46964285714285714,0.19421785874782105
10,0.7736111111111111,0.09839569585588061,0.6486111111111111,0.22755324298955118,0.6404761904761905,0.1973391592263744,0.4986111111111111,0.18783919935629734
11,0.6972222222222223,0.2065852587572561,0.6805555555555556,0.1954142481884618,0.6847222222222223,0.18837245578577946,0.5180555555555555,0.1909760100634451
12,0.8402777777777777,0.12268693220279547,0.8583333333333333,0.11252571722516168,0.8763888888888889,0.08787398033407322,0.6027777777777777,0.23062248024653131
13,0.9361111111111111,0.06955546680860507,0.9013888888888888,0.12486875826291968,0.9013888888888888,0.12486875826291968,0.6694444444444444,0.19158613445022646
14,0.9555555555555555,0.04444444444444445,0.9194444444444444,0.09537935951883,0.9194444444444444,0.09537935951883,0.7708333333333334,0.2075494511950297
15,0.9555555555555555,0.04444444444444445,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.8347222222222223,0.1974519397689436
16,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.8763888888888889,0.16677658412482754
17,0.9555555555555555,0.04444444444444445,0.9555555555555555,0.04444444444444445,0.9777777777777777,0.038490017945975064,0.9416666666666667,0.10103629710818454
18,0.9555555555555555,0.04444444444444445,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064
19,0.9555555555555555,0.04444444444444445,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,1.0,0.0
20,0.9777777777777777,0.038490017945975064,1.0,0.0,0.9777777777777777,0.038490017945975064,1.0,0.0
21,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,1.0,0.0
22,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,1.0,0.0
23,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,1.0,0.0
24,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064
25,0.9777777777777777,0.038490017945975064,1.0,0.0,0.9777777777777777,0.038490017945975064,1.0,0.0
26,0.9777777777777777,0.038490017945975064,1.0,0.0,0.9777777777777777,0.038490017945975064,1.0,0.0
27,0.9777777777777777,0.038490017945975064,1.0,0.0,0.9777777777777777,0.038490017945975064,0.9777777777777777,0.038490017945975064
28,0.9777777777777777,0.038490017945975064,1.0,0.0,0.9777777777777777,0.038490017945975064,1.0,0.0
