task_id,family,wording,label,head,suff
exp12_test_edit_00,test_edit,paraphrase,1,6,-0.01822313852608204
exp12_test_edit_00,test_edit,paraphrase,1,7,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,8,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,9,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,10,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,11,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,12,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,13,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,14,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,15,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,16,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,17,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,18,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,19,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,20,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,21,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,22,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,23,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,24,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,25,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,26,-0.0
exp12_test_edit_00,test_edit,paraphrase,1,27,-0.0
exp12_test_edit_01,test_edit,canonical,0,0,-0.004369355039671063
exp12_test_edit_01,test_edit,canonical,0,1,-0.012943304609507322
exp12_test_edit_01,test_edit,canonical,0,2,-0.01758888317272067
exp12_test_edit_01,test_edit,canonical,0,3,-0.01307211210951209
exp12_test_edit_01,test_edit,canonical,0,4,-0.02184700919315219
exp12_test_edit_01,test_edit,canonical,0,5,0.004579584812745452
exp12_test_edit_01,test_edit,canonical,0,6,-0.017444602213799953
exp12_test_edit_01,test_edit,canonical,0,7,0.0
exp12_test_edit_01,test_edit,canonical,0,8,0.0
exp12_test_edit_01,test_edit,canonical,0,9,0.0
exp12_test_edit_01,test_edit,canonical,0,10,0.0
exp12_test_edit_01,test_edit,canonical,0,11,0.0
exp12_test_edit_01,test_edit,canonical,0,12,0.0
exp12_test_edit_01,test_edit,canonical,0,13,0.0
exp12_test_edit_01,test_edit,canonical,0,14,0.0
exp12_test_edit_01,test_edit,canonical,0,15,0.0
exp12_test_edit_01,test_edit,canonical,0,16,0.0
exp12_test_edit_01,test_edit,canonical,0,17,0.0
exp12_test_edit_01,test_edit,canonical,0,18,0.0
exp12_test_edit_01,test_edit,canonical,0,19,0.0
exp12_test_edit_01,test_edit,canonical,0,20,0.0
exp12_test_edit_01,test_edit,canonical,0,21,0.0
exp12_test_edit_01,test_edit,canonical,0,22,0.0
exp12_test_edit_01,test_edit,canonical,0,23,0.0
exp12_test_edit_01,test_edit,canonical,0,24,0.0
exp12_test_edit_01,test_edit,canonical,0,25,0.0
exp12_test_edit_01,test_edit,canonical,0,26,0.0
exp12_test_edit_01,test_edit,canonical,0,27,0.0
exp12_test_edit_01,test_edit,paraphrase,0,0,0.008958052785601467
exp12_test_edit_01,test_edit,paraphrase,0,1,0.01340131659526378
exp12_test_edit_01,test_edit,paraphrase,0,2,0.017856157035566866
exp12_test_edit_01,test_edit,paraphrase,0,3,0.013450352649670094
exp12_test_edit_01,test_edit,paraphrase,0,4,-0.0043834412936121225
exp12_test_edit_01,test_edit,paraphrase,0,5,0.00901406182674691
exp12_test_edit_01,test_edit,paraphrase,0,6,0.0045704994117841125
exp12_test_edit_01,test_edit,paraphrase,0,7,0.0
exp12_test_edit_01,test_edit,paraphrase,0,8,0.0
exp12_test_edit_01,test_edit,paraphrase,0,9,0.0
exp12_test_edit_01,test_edit,paraphrase,0,10,0.0
exp12_test_edit_01,test_edit,paraphrase,0,11,0.0
exp12_test_edit_01,test_edit,paraphrase,0,12,0.0
exp12_test_edit_01,test_edit,paraphrase,0,13,0.0
exp12_test_edit_01,test_edit,paraphrase,0,14,0.0
exp12_test_edit_01,test_edit,paraphrase,0,15,0.0
exp12_test_edit_01,test_edit,paraphrase,0,16,0.0
exp12_test_edit_01,test_edit,paraphrase,0,17,0.0
exp12_test_edit_01,test_edit,paraphrase,0,18,0.0
exp12_test_edit_01,test_edit,paraphrase,0,19,0.0
exp12_test_edit_01,test_edit,paraphrase,0,20,0.0
exp12_test_edit_01,test_edit,paraphrase,0,21,0.0
exp12_test_edit_01,test_edit,paraphrase,0,22,0.0
exp12_test_edit_01,test_edit,paraphrase,0,23,0.0
exp12_test_edit_01,test_edit,paraphrase,0,24,0.0
exp12_test_edit_01,test_edit,paraphrase,0,25,0.0
exp12_test_edit_01,test_edit,paraphrase,0,26,0.0
exp12_test_edit_01,test_edit,paraphrase,0,27,0.0
exp12_test_edit_01,test_edit,canonical,1,0,-0.00416601961478591
exp12_test_edit_01,test_edit,canonical,1,1,-1.9287224858999252e-05
exp12_test_edit_01,test_edit,canonical,1,2,0.0041801235638558865
exp12_test_edit_01,test_edit,canonical,1,3,-1.4810822904109955e-05
exp12_test_edit_01,test_edit,canonical,1,4,-0.004176379181444645
exp12_test_edit_01,test_edit,canonical,1,5,-0.00419712346047163
exp12_test_edit_01,test_edit,canonical,1,6,-2.9362738132476807e-05
exp12_test_edit_01,test_edit,canonical,1,7,-0.0
exp12_test_edit_01,test_edit,canonical,1,8,-0.0
exp12_test_edit_01,test_edit,canonical,1,9,-0.0
exp12_test_edit_01,test_edit,canonical,1,10,-0.0
exp12_test_edit_01,test_edit,canonical,1,11,-0.0
exp12_test_edit_01,test_edit,canonical,1,12,-0.0
exp12_test_edit_01,test_edit,canonical,1,13,-0.0
exp12_test_edit_01,test_edit,canonical,1,14,-0.0
exp12_test_edit_01,test_edit,canonical,1,15,-0.0
exp12_test_edit_01,test_edit,canonical,1,16,-0.0
exp12_test_edit_01,test_edit,canonical,1,17,-0.0
exp12_test_edit_01,test_edit,canonical,1,18,-0.0
exp12_test_edit_01,test_edit,canonical,1,19,-0.0
exp12_test_edit_01,test_edit,canonical,1,20,-0.0
exp12_test_edit_01,test_edit,canonical,1,21,-0.0
exp12_test_edit_01,test_edit,canonical,1,22,-0.0
exp12_test_edit_01,test_edit,canonical,1,23,-0.0
exp12_test_edit_01,test_edit,canonical,1,24,-0.0
exp12_test_edit_01,test_edit,canonical,1,25,-0.0
exp12_test_edit_01,test_edit,canonical,1,26,-0.0
exp12_test_edit_01,test_edit,canonical,1,27,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,0,0.00027411244809627533
exp12_test_edit_01,test_edit,paraphrase,1,1,-0.001649303361773491
exp12_test_edit_01,test_edit,paraphrase,1,2,-0.009130949154496193
exp12_test_edit_01,test_edit,paraphrase,1,3,0.006838859990239143
exp12_test_edit_01,test_edit,paraphrase,1,4,-0.0041951462626457214
exp12_test_edit_01,test_edit,paraphrase,1,5,0.013149440288543701
exp12_test_edit_01,test_edit,paraphrase,1,6,-0.022053901106119156
exp12_test_edit_01,test_edit,paraphrase,1,7,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,8,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,9,-0.0
