family,wording,recipient_label,metric,mean,ci_low,ci_high,num_tasks
config_command,canonical,0,selected_V_sufficiency,0.03561086999252435,0.03154280385933814,0.039159205259056716,8
config_command,canonical,1,selected_V_sufficiency,0.08152767247520382,0.06440746356383892,0.09819027438643382,8
config_command,paraphrase,0,selected_V_sufficiency,0.01241308590397235,0.005980134708806831,0.019377266790252153,8
config_command,paraphrase,1,selected_V_sufficiency,0.10046035610139364,0.07193716485053295,0.12876764535903926,8
docs_code,canonical,0,selected_V_sufficiency,0.01465281330456487,0.007817748512024944,0.021488586073246517,8
docs_code,canonical,1,selected_V_sufficiency,0.00510750414105131,-0.0033301526091235943,0.012530369895102865,8
docs_code,paraphrase,0,selected_V_sufficiency,0.029988068956299626,0.020452836245021845,0.04170944028701335,8
docs_code,paraphrase,1,selected_V_sufficiency,0.03265026483131801,0.02176957086394391,0.0440665030322634,8
search_edit,canonical,0,selected_V_sufficiency,0.004656709119444705,-0.005022024199024575,0.014691095298076077,8
search_edit,canonical,1,selected_V_sufficiency,-0.00757182808592915,-0.0181212939562101,0.004111580085009324,8
search_edit,paraphrase,0,selected_V_sufficiency,0.026159060424106387,0.017903971132727712,0.036143332170468,8
search_edit,paraphrase,1,selected_V_sufficiency,0.06129241001326586,0.0485077104531228,0.07568640425160988,8
test_edit,canonical,0,selected_V_sufficiency,0.000139563271659424,-0.003686253559135333,0.0037534560506173537,8
test_edit,canonical,1,selected_V_sufficiency,-0.0019959709316026432,-0.006403906505147427,0.002014643212896726,8
test_edit,paraphrase,0,selected_V_sufficiency,0.008210514133679653,0.0023526498645878796,0.015503726001588745,8
test_edit,paraphrase,1,selected_V_sufficiency,0.0030687320977449374,-0.0016136565420310613,0.0075817126780748124,8
config_command,canonical,0,selected_V_necessity_loss,0.04180050780996675,0.0359374699182808,0.04742625001817934,8
config_command,canonical,1,selected_V_necessity_loss,0.058596728253178264,0.04466851344623133,0.0745186088752234,8
config_command,paraphrase,0,selected_V_necessity_loss,0.018948578275740088,0.011939839459955626,0.02639544368721539,8
config_command,paraphrase,1,selected_V_necessity_loss,0.07215659692883489,0.04806501790881154,0.09788148417137554,8
docs_code,canonical,0,selected_V_necessity_loss,0.031847672027652096,0.019587861283616753,0.04361448529507464,8
docs_code,canonical,1,selected_V_necessity_loss,0.00355847697937859,-0.0036139226343948287,0.010030279078637195,8
docs_code,paraphrase,0,selected_V_necessity_loss,0.031828404375119065,0.0233225708572717,0.04263159321271809,8
docs_code,paraphrase,1,selected_V_necessity_loss,0.038986414649116286,0.02383275855390815,0.05969573695620052,8
search_edit,canonical,0,selected_V_necessity_loss,0.007612839352077559,-0.001349596618638273,0.016261710557137078,8
search_edit,canonical,1,selected_V_necessity_loss,-0.005559763230849054,-0.01979821152490328,0.009986754298733991,8
search_edit,paraphrase,0,selected_V_necessity_loss,0.02119500704611705,0.016447394177521304,0.025227738738976727,8
search_edit,paraphrase,1,selected_V_necessity_loss,0.07891979685518888,0.0635970948380418,0.09434470417909321,8
test_edit,canonical,0,selected_V_necessity_loss,0.0013372014655033126,-0.008516306756064275,0.01136989128572167,8
test_edit,canonical,1,selected_V_necessity_loss,1.116830389949735e-06,-0.0038468065904452998,0.0039141096101957,8
test_edit,paraphrase,0,selected_V_necessity_loss,0.016433949800557412,0.011675747385743262,0.020317961152977626,8
test_edit,paraphrase,1,selected_V_necessity_loss,0.0074224844574927624,0.003520055566332244,0.01216907517518841,8
