task_id,family,wording,label,margin,signed
exp12_test_edit_00,test_edit,canonical,0,-2.698975346283987,2.698975346283987
exp12_test_edit_00,test_edit,paraphrase,0,-2.9394438448362052,2.9394438448362052
exp12_test_edit_00,test_edit,canonical,1,0.9219463407061994,0.9219463407061994
exp12_test_edit_00,test_edit,paraphrase,1,0.8104668464511633,0.8104668464511633
exp12_test_edit_01,test_edit,canonical,0,-2.63751984690316,2.63751984690316
exp12_test_edit_01,test_edit,paraphrase,0,-2.9172408888698556,2.9172408888698556
exp12_test_edit_01,test_edit,canonical,1,0.939286439679563,0.939286439679563
exp12_test_edit_01,test_edit,paraphrase,1,0.723525557667017,0.723525557667017
exp12_test_edit_02,test_edit,canonical,0,-2.627376887248829,2.627376887248829
exp12_test_edit_02,test_edit,paraphrase,0,-2.8808106022770517,2.8808106022770517
exp12_test_edit_02,test_edit,canonical,1,0.9898889195173979,0.9898889195173979
exp12_test_edit_02,test_edit,paraphrase,1,0.8043958358466625,0.8043958358466625
exp12_test_edit_03,test_edit,canonical,0,-2.3077071292791516,2.3077071292791516
exp12_test_edit_03,test_edit,paraphrase,0,-2.552807103144005,2.552807103144005
exp12_test_edit_03,test_edit,canonical,1,0.8895224290899932,0.8895224290899932
exp12_test_edit_03,test_edit,paraphrase,1,0.7011365629732609,0.7011365629732609
exp12_test_edit_04,test_edit,canonical,0,-2.393024840625003,2.393024840625003
exp12_test_edit_04,test_edit,paraphrase,0,-2.5564463661285117,2.5564463661285117
exp12_test_edit_04,test_edit,canonical,1,0.9730886113829911,0.9730886113829911
exp12_test_edit_04,test_edit,paraphrase,1,0.7922286819666624,0.7922286819666624
exp12_test_edit_05,test_edit,canonical,0,-2.325642665848136,2.325642665848136
exp12_test_edit_05,test_edit,paraphrase,0,-2.560944997239858,2.560944997239858
exp12_test_edit_05,test_edit,canonical,1,0.9606117042712867,0.9606117042712867
exp12_test_edit_05,test_edit,paraphrase,1,0.7600183188915253,0.7600183188915253
exp12_test_edit_06,test_edit,canonical,0,-2.329891077359207,2.329891077359207
exp12_test_edit_06,test_edit,paraphrase,0,-2.575426136550959,2.575426136550959
exp12_test_edit_06,test_edit,canonical,1,0.9405305723194033,0.9405305723194033
exp12_test_edit_06,test_edit,paraphrase,1,0.677973348647356,0.677973348647356
exp12_test_edit_07,test_edit,canonical,0,-2.302786205429584,2.302786205429584
exp12_test_edit_07,test_edit,paraphrase,0,-2.520862627250608,2.520862627250608
exp12_test_edit_07,test_edit,canonical,1,0.9564904239960015,0.9564904239960015
exp12_test_edit_07,test_edit,paraphrase,1,0.8179981559514999,0.8179981559514999
exp12_test_edit_08,test_edit,canonical,0,-2.6816130382940173,2.6816130382940173
exp12_test_edit_08,test_edit,paraphrase,0,-2.912926407996565,2.912926407996565
exp12_test_edit_08,test_edit,canonical,1,0.9644550243392587,0.9644550243392587
exp12_test_edit_08,test_edit,paraphrase,1,0.7659286968410015,0.7659286968410015
exp12_test_edit_09,test_edit,canonical,0,-2.3466228747274727,2.3466228747274727
exp12_test_edit_09,test_edit,paraphrase,0,-2.5445475269807503,2.5445475269807503
exp12_test_edit_09,test_edit,canonical,1,0.9484315125737339,0.9484315125737339
exp12_test_edit_09,test_edit,paraphrase,1,0.7215651497244835,0.7215651497244835
exp12_test_edit_10,test_edit,canonical,0,-2.322123653255403,2.322123653255403
exp12_test_edit_10,test_edit,paraphrase,0,-2.5676369699649513,2.5676369699649513
exp12_test_edit_10,test_edit,canonical,1,0.9192023687064648,0.9192023687064648
exp12_test_edit_10,test_edit,paraphrase,1,0.8296380769461393,0.8296380769461393
exp12_test_edit_11,test_edit,canonical,0,-2.324026244925335,2.324026244925335
exp12_test_edit_11,test_edit,paraphrase,0,-2.541821664199233,2.541821664199233
exp12_test_edit_11,test_edit,canonical,1,0.7867834027856588,0.7867834027856588
exp12_test_edit_11,test_edit,paraphrase,1,0.7240266613662243,0.7240266613662243
exp12_test_edit_12,test_edit,canonical,0,-2.366782827768475,2.366782827768475
exp12_test_edit_12,test_edit,paraphrase,0,-2.5457959453342482,2.5457959453342482
exp12_test_edit_12,test_edit,canonical,1,0.770414519123733,0.770414519123733
exp12_test_edit_12,test_edit,paraphrase,1,0.7568971905857325,0.7568971905857325
exp12_test_edit_13,test_edit,canonical,0,-2.353258542367257,2.353258542367257
exp12_test_edit_13,test_edit,paraphrase,0,-2.5488503836095333,2.5488503836095333
exp12_test_edit_13,test_edit,canonical,1,0.910560451913625,0.910560451913625
exp12_test_edit_13,test_edit,paraphrase,1,0.8344029039144516,0.8344029039144516
exp12_test_edit_14,test_edit,canonical,0,-2.1021710643544793,2.1021710643544793
exp12_test_edit_14,test_edit,paraphrase,0,-2.2723120477749035,2.2723120477749035
exp12_test_edit_14,test_edit,canonical,1,0.9145336570218205,0.9145336570218205
exp12_test_edit_14,test_edit,paraphrase,1,0.8851381931453943,0.8851381931453943
exp12_test_edit_15,test_edit,canonical,0,-2.3498989117797464,2.3498989117797464
exp12_test_edit_15,test_edit,paraphrase,0,-2.5600355606875382,2.5600355606875382
exp12_test_edit_15,test_edit,canonical,1,0.9602706339210272,0.9602706339210272
exp12_test_edit_15,test_edit,paraphrase,1,0.8528038207441568,0.8528038207441568
exp12_search_edit_00,search_edit,canonical,0,-2.795049805252347,2.795049805252347
exp12_search_edit_00,search_edit,paraphrase,0,-2.4017499797046185,2.4017499797046185
exp12_search_edit_00,search_edit,canonical,1,1.938266541576013,1.938266541576013
exp12_search_edit_00,search_edit,paraphrase,1,0.5642649056389928,0.5642649056389928
exp12_search_edit_01,search_edit,canonical,0,-2.9377510340709705,2.9377510340709705
exp12_search_edit_01,search_edit,paraphrase,0,-2.651815703487955,2.651815703487955
exp12_search_edit_01,search_edit,canonical,1,2.073595085181296,2.073595085181296
exp12_search_edit_01,search_edit,paraphrase,1,0.01727338880300522,0.01727338880300522
exp12_search_edit_02,search_edit,canonical,0,-2.9379217152600177,2.9379217152600177
exp12_search_edit_02,search_edit,paraphrase,0,-2.6428712226625066,2.6428712226625066
exp12_search_edit_02,search_edit,canonical,1,1.9902776393573731,1.9902776393573731
exp12_search_edit_02,search_edit,paraphrase,1,-0.1906624473631382,-0.1906624473631382
exp12_search_edit_03,search_edit,canonical,0,-2.5313959483755752,2.5313959483755752
exp12_search_edit_03,search_edit,paraphrase,0,-2.1248584676068276,2.1248584676068276
exp12_search_edit_03,search_edit,canonical,1,1.7618973106145859,1.7618973106145859
exp12_search_edit_03,search_edit,paraphrase,1,0.4219404421746731,0.4219404421746731
exp12_search_edit_04,search_edit,canonical,0,-2.5159734326589387,2.5159734326589387
exp12_search_edit_04,search_edit,paraphrase,0,-2.023289489967283,2.023289489967283
exp12_search_edit_04,search_edit,canonical,1,1.939210593700409,1.939210593700409
exp12_search_edit_04,search_edit,paraphrase,1,0.2405134215950966,0.2405134215950966
exp12_search_edit_05,search_edit,canonical,0,-2.5550183536543045,2.5550183536543045
exp12_search_edit_05,search_edit,paraphrase,0,-1.9529029531404376,1.9529029531404376
exp12_search_edit_05,search_edit,canonical,1,1.7517389515414834,1.7517389515414834
exp12_search_edit_05,search_edit,paraphrase,1,0.22102868556976318,0.22102868556976318
exp12_search_edit_06,search_edit,canonical,0,-2.6490717871347442,2.6490717871347442
exp12_search_edit_06,search_edit,paraphrase,0,-2.2186533486528788,2.2186533486528788
exp12_search_edit_06,search_edit,canonical,1,1.824635645840317,1.824635645840317
exp12_search_edit_06,search_edit,paraphrase,1,0.3201246615499258,0.3201246615499258
exp12_search_edit_07,search_edit,canonical,0,-2.5157595154014416,2.5157595154014416
exp12_search_edit_07,search_edit,paraphrase,0,-2.132676509441808,2.132676509441808
exp12_search_edit_07,search_edit,canonical,1,1.772913169581443,1.772913169581443
exp12_search_edit_07,search_edit,paraphrase,1,0.2608307711780071,0.2608307711780071
exp12_search_edit_08,search_edit,canonical,0,-2.866289169935044,2.866289169935044
exp12_search_edit_08,search_edit,paraphrase,0,-2.3924738579662517,2.3924738579662517
exp12_search_edit_08,search_edit,canonical,1,1.927945110714063,1.927945110714063
exp12_search_edit_08,search_edit,paraphrase,1,0.2559305354952812,0.2559305354952812
exp12_search_edit_09,search_edit,canonical,0,-2.586308320169337,2.586308320169337
exp12_search_edit_09,search_edit,paraphrase,0,-2.148339847335592,2.148339847335592
exp12_search_edit_09,search_edit,canonical,1,1.886585442116484,1.886585442116484
exp12_search_edit_09,search_edit,paraphrase,1,0.44212009105831385,0.44212009105831385
exp12_search_edit_10,search_edit,canonical,0,-2.6173787419102155,2.6173787419102155
exp12_search_edit_10,search_edit,paraphrase,0,-2.077971831546165,2.077971831546165
exp12_search_edit_10,search_edit,canonical,1,1.8981140344403684,1.8981140344403684
