task_idx,task_id,recipient_condition,recipient_wording,donor_condition,donor_label,offset,endpoint,value
0,task_000,canonical_impl,canonical,canonical_test,0,-14,leave_one_out_loss,-0.006123542785644531
0,task_000,canonical_impl,canonical,canonical_test,0,-13,single_token_sufficiency,0.011392176151275635
0,task_000,canonical_impl,canonical,canonical_test,0,-13,single_token_necessity_loss,0.012996494770050049
0,task_000,canonical_impl,canonical,canonical_test,0,-13,leave_one_out_loss,0.004652619361877441
0,task_000,canonical_impl,canonical,canonical_test,0,-12,single_token_sufficiency,-0.0008431077003479004
0,task_000,canonical_impl,canonical,canonical_test,0,-12,single_token_necessity_loss,-0.007806181907653809
0,task_000,canonical_impl,canonical,canonical_test,0,-12,leave_one_out_loss,-0.005650997161865234
0,task_000,canonical_impl,canonical,canonical_test,0,-11,single_token_sufficiency,-0.0008261799812316895
0,task_000,canonical_impl,canonical,canonical_test,0,-11,single_token_necessity_loss,-0.005524277687072754
0,task_000,canonical_impl,canonical,canonical_test,0,-11,leave_one_out_loss,-0.0034201741218566895
0,task_000,canonical_impl,canonical,canonical_test,0,-10,single_token_sufficiency,-0.00014668703079223633
0,task_000,canonical_impl,canonical,canonical_test,0,-10,single_token_necessity_loss,-0.005029797554016113
0,task_000,canonical_impl,canonical,canonical_test,0,-10,leave_one_out_loss,-0.004302799701690674
0,task_000,canonical_impl,canonical,canonical_test,0,-9,single_token_sufficiency,-0.0007953643798828125
0,task_000,canonical_impl,canonical,canonical_test,0,-9,single_token_necessity_loss,0.002720952033996582
0,task_000,canonical_impl,canonical,canonical_test,0,-9,leave_one_out_loss,-0.014687001705169678
0,task_000,canonical_impl,canonical,canonical_test,0,-8,single_token_sufficiency,0.001203298568725586
0,task_000,canonical_impl,canonical,canonical_test,0,-8,single_token_necessity_loss,-0.005095720291137695
0,task_000,canonical_impl,canonical,canonical_test,0,-8,leave_one_out_loss,-0.006815969944000244
0,task_000,canonical_impl,canonical,canonical_test,0,-7,single_token_sufficiency,-0.0031267404556274414
0,task_000,canonical_impl,canonical,canonical_test,0,-7,single_token_necessity_loss,-0.007849693298339844
0,task_000,canonical_impl,canonical,canonical_test,0,-7,leave_one_out_loss,-0.004296422004699707
