reader,endpoint,mean,ci_low,ci_high,sign_flip_p,num_tasks,mean_non_kv0_delta_ratio,bh_q,canonical,paraphrase
0,path_necessity_loss,0.031873300671577454,0.030055225865604978,0.03387334683599571,4.999750012499375e-05,48,0.0,5.833041681249271e-05,0.023986296107371647,0.03976030523578326
0,path_sufficiency,0.032602621552844845,0.030696574443330366,0.034487584093585606,4.999750012499375e-05,48,0.0,6.999650017499125e-05,0.024882592881719272,0.04032265022397041
1,path_necessity_loss,0.0018748131891091664,0.0011334769582996766,0.0026319753689070537,9.99950002499875e-05,48,0.0,9.99950002499875e-05,0.0012390123059352238,0.002510614072283109
1,path_sufficiency,0.0011043092235922813,0.000372988924694558,0.0018251518020406365,0.005399730013499325,48,0.0,0.005399730013499325,0.0005783475935459137,0.001630270853638649
2,path_necessity_loss,-0.002831236459314823,-0.003765858345044156,-0.0018819887035836783,4.999750012499375e-05,48,0.0,5.833041681249271e-05,-0.0024381522089242935,-0.003224320709705353
2,path_sufficiency,-0.0021367895727356276,-0.0030413965694606306,-0.001224513445049525,9.99950002499875e-05,48,0.0,0.00011666083362498542,-0.0018200787405172985,-0.0024535004049539566
3,path_necessity_loss,0.016736069073279698,0.01521060939412564,0.01835726003628224,4.999750012499375e-05,48,0.0,5.833041681249271e-05,0.01229649099210898,0.021175647154450417
3,path_sufficiency,0.016667614070077736,0.015394571757254501,0.01804411585132281,4.999750012499375e-05,48,0.0,6.999650017499125e-05,0.012558310603102049,0.020776917537053425
4,path_necessity_loss,-0.0066010672599077225,-0.007553674117662012,-0.005659413392034671,4.999750012499375e-05,48,0.0,5.833041681249271e-05,-0.006183827295899391,-0.007018307223916054
4,path_sufficiency,-0.006133981669942538,-0.007067161030136049,-0.005186777305789292,4.999750012499375e-05,48,0.0,6.999650017499125e-05,-0.005745811387896538,-0.006522151951988538
5,path_necessity_loss,0.005997032858431339,0.004916031014484664,0.007153501555634039,4.999750012499375e-05,48,0.0,5.833041681249271e-05,0.0019503117849429448,0.010043753931919733
5,path_sufficiency,0.006166810169816017,0.0051277495843047895,0.007226112872983017,4.999750012499375e-05,48,0.0,6.999650017499125e-05,0.0023450367152690887,0.009988583624362946
6,path_necessity_loss,-0.003961257326106231,-0.0047890355500082174,-0.003107022889889777,4.999750012499375e-05,48,0.0,5.833041681249271e-05,-0.0022826424489418664,-0.005639872203270595
6,path_sufficiency,-0.0035519960025946298,-0.004555291690242788,-0.0025986083938429757,4.999750012499375e-05,48,0.0,6.999650017499125e-05,-0.0019668135792016983,-0.005137178425987561
Q7_Q27,path_necessity_loss,0.0,0.0,0.0,1.0,48,0.0,,,
Q7_Q27,path_sufficiency,0.0,0.0,0.0,1.0,48,0.0,,,
all7,path_necessity_loss,0.04478038288652897,0.04210283043794334,0.047611330876437326,4.999750012499375e-05,48,0.0,,,
all7,path_sufficiency,0.04478038288652897,0.042045427750175196,0.047581347861948106,4.999750012499375e-05,48,0.0,,,
full_KV0_B5,verified_V_effect,0.04478038288652897,0.04211288899338494,0.0475946570901821,4.999750012499375e-05,48,0.0,,,
