fold,task_idx,task_id,condition,wording,label,direction_type,control_id,alpha,test_mean_logprob,impl_mean_logprob,margin_impl_minus_test,delta_margin_from_baseline
0,43,task_043,canonical_impl,canonical,1,baseline,-1,0.0,-0.9365102648735046,-0.6906925439834595,0.24581772089004517,0.0
0,43,task_043,paraphrase_test,paraphrase,0,baseline,-1,0.0,-0.9704989194869995,-0.854789137840271,0.11570978164672852,0.0
0,43,task_043,paraphrase_impl,paraphrase,1,baseline,-1,0.0,-0.9655629396438599,-0.7107934951782227,0.2547694444656372,0.0
0,47,task_047,canonical_test,canonical,0,baseline,-1,0.0,-1.2953119277954102,-1.1031523942947388,0.1921595335006714,0.0
0,47,task_047,canonical_impl,canonical,1,baseline,-1,0.0,-1.2372500896453857,-0.9278570413589478,0.309393048286438,0.0
0,47,task_047,paraphrase_test,paraphrase,0,baseline,-1,0.0,-1.3294286727905273,-1.0268267393112183,0.3026019334793091,0.0
0,47,task_047,paraphrase_impl,paraphrase,1,baseline,-1,0.0,-1.2517589330673218,-0.8475368022918701,0.40422213077545166,0.0
0,3,task_003,canonical_test,canonical,0,real,-1,-2.0,-1.2975633144378662,-1.0499292612075806,0.24763405323028564,0.0029910802841186523
0,3,task_003,canonical_impl,canonical,1,real,-1,-2.0,-1.3894102573394775,-0.8997129797935486,0.48969727754592896,-0.0172269344329834
0,3,task_003,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.3592009544372559,-1.0031087398529053,0.3560922145843506,-0.004366576671600342
0,3,task_003,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.514826774597168,-0.929149866104126,0.585676908493042,-0.009562909603118896
0,7,task_007,canonical_test,canonical,0,real,-1,-2.0,-0.9598255157470703,-0.85637366771698,0.10345184803009033,-0.0033301711082458496
0,7,task_007,canonical_impl,canonical,1,real,-1,-2.0,-0.9457873106002808,-0.6680971384048462,0.27769017219543457,-0.016739368438720703
0,7,task_007,paraphrase_test,paraphrase,0,real,-1,-2.0,-0.9908127784729004,-0.8616195321083069,0.1291932463645935,0.0022537708282470703
0,7,task_007,paraphrase_impl,paraphrase,1,real,-1,-2.0,-0.9666956663131714,-0.7115362286567688,0.2551594376564026,-0.0009538531303405762
0,11,task_011,canonical_test,canonical,0,real,-1,-2.0,-1.2860459089279175,-1.0648645162582397,0.22118139266967773,-0.007394671440124512
0,11,task_011,canonical_impl,canonical,1,real,-1,-2.0,-1.3036999702453613,-0.9494688510894775,0.3542311191558838,-0.016005098819732666
0,11,task_011,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.45517098903656,-1.1132365465164185,0.3419344425201416,-0.0009101629257202148
0,11,task_011,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.4355510473251343,-0.9662527441978455,0.4692983031272888,-0.0050945281982421875
0,15,task_015,canonical_test,canonical,0,real,-1,-2.0,-1.3434522151947021,-1.0710289478302002,0.27242326736450195,-0.010259151458740234
0,15,task_015,canonical_impl,canonical,1,real,-1,-2.0,-1.5100479125976562,-0.9424434304237366,0.5676044821739197,-0.013113260269165039
0,15,task_015,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.389538049697876,-0.9880074858665466,0.40153056383132935,-0.016137242317199707
0,15,task_015,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.5759090185165405,-0.9505153894424438,0.6253936290740967,-0.0024210214614868164
0,19,task_019,canonical_test,canonical,0,real,-1,-2.0,-0.9814786314964294,-0.8630069494247437,0.11847168207168579,0.0047873854637146
0,19,task_019,canonical_impl,canonical,1,real,-1,-2.0,-0.9358925819396973,-0.6530055403709412,0.2828870415687561,-0.013771772384643555
0,19,task_019,paraphrase_test,paraphrase,0,real,-1,-2.0,-0.9972893595695496,-0.8659031391143799,0.13138622045516968,-0.007458090782165527
0,19,task_019,paraphrase_impl,paraphrase,1,real,-1,-2.0,-0.9969354867935181,-0.7253283262252808,0.2716071605682373,-0.006759941577911377
0,23,task_023,canonical_test,canonical,0,real,-1,-2.0,-1.2865359783172607,-1.1049314737319946,0.1816045045852661,0.011956453323364258
0,23,task_023,canonical_impl,canonical,1,real,-1,-2.0,-1.2418259382247925,-0.9461663365364075,0.295659601688385,-0.005444824695587158
0,23,task_023,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.363736629486084,-1.0648728609085083,0.2988637685775757,0.003077983856201172
0,23,task_023,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.2817790508270264,-0.890887439250946,0.3908916115760803,-0.010288476943969727
0,27,task_027,canonical_test,canonical,0,real,-1,-2.0,-1.2991926670074463,-1.0452251434326172,0.2539675235748291,-0.003910422325134277
0,27,task_027,canonical_impl,canonical,1,real,-1,-2.0,-1.4262288808822632,-0.9044870734214783,0.5217418074607849,-0.006978809833526611
0,27,task_027,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.3568031787872314,-0.9794275760650635,0.37737560272216797,-0.013281702995300293
0,27,task_027,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.5616469383239746,-0.9328374862670898,0.6288094520568848,-0.015003740787506104
0,31,task_031,canonical_test,canonical,0,real,-1,-2.0,-0.948400616645813,-0.8639251589775085,0.08447545766830444,0.005530357360839844
0,31,task_031,canonical_impl,canonical,1,real,-1,-2.0,-0.9187424182891846,-0.6861011981964111,0.23264122009277344,-0.009789347648620605
0,31,task_031,paraphrase_test,paraphrase,0,real,-1,-2.0,-0.996064305305481,-0.8728803992271423,0.12318390607833862,0.00027000904083251953
0,31,task_031,paraphrase_impl,paraphrase,1,real,-1,-2.0,-0.9607570171356201,-0.73687744140625,0.22387957572937012,0.00367659330368042
0,35,task_035,canonical_test,canonical,0,real,-1,-2.0,-1.288267731666565,-1.0878608226776123,0.20040690898895264,-0.0016039609909057617
0,35,task_035,canonical_impl,canonical,1,real,-1,-2.0,-1.2526848316192627,-0.9437549710273743,0.3089298605918884,-0.005367100238800049
0,35,task_035,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.355262041091919,-1.0512248277664185,0.3040372133255005,-0.004647016525268555
0,35,task_035,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.331648588180542,-0.9165570735931396,0.41509151458740234,-0.004049181938171387
0,39,task_039,canonical_test,canonical,0,real,-1,-2.0,-1.346184492111206,-1.0939991474151611,0.2521853446960449,-0.00592494010925293
0,39,task_039,canonical_impl,canonical,1,real,-1,-2.0,-1.420215368270874,-0.9226452112197876,0.4975701570510864,-0.010312497615814209
0,39,task_039,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.3871949911117554,-1.0006057024002075,0.38658928871154785,-0.005485236644744873
0,39,task_039,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.62384831905365,-0.9474800229072571,0.6763682961463928,-0.005589544773101807
0,43,task_043,canonical_test,canonical,0,real,-1,-2.0,-0.9816147089004517,-0.8929274678230286,0.0886872410774231,0.0076487064361572266
0,43,task_043,canonical_impl,canonical,1,real,-1,-2.0,-0.9483664035797119,-0.706415057182312,0.2419513463973999,-0.0038663744926452637
0,43,task_043,paraphrase_test,paraphrase,0,real,-1,-2.0,-0.9917771220207214,-0.8771296143531799,0.1146475076675415,-0.0010622739791870117
0,43,task_043,paraphrase_impl,paraphrase,1,real,-1,-2.0,-0.9927343726158142,-0.7299454808235168,0.26278889179229736,0.008019447326660156
0,47,task_047,canonical_test,canonical,0,real,-1,-2.0,-1.3008025884628296,-1.108647108078003,0.19215548038482666,-4.0531158447265625e-06
0,47,task_047,canonical_impl,canonical,1,real,-1,-2.0,-1.2563360929489136,-0.9475522041320801,0.3087838888168335,-0.0006091594696044922
0,47,task_047,paraphrase_test,paraphrase,0,real,-1,-2.0,-1.3597314357757568,-1.0621230602264404,0.2976083755493164,-0.004993557929992676
0,47,task_047,paraphrase_impl,paraphrase,1,real,-1,-2.0,-1.277580738067627,-0.8725380897521973,0.4050426483154297,0.0008205175399780273
0,3,task_003,canonical_test,canonical,0,real,-1,-1.0,-1.2989215850830078,-1.0507097244262695,0.24821186065673828,0.003568887710571289
0,3,task_003,canonical_impl,canonical,1,real,-1,-1.0,-1.3953578472137451,-0.8962185978889465,0.4991392493247986,-0.0077849626541137695
0,3,task_003,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.3585742712020874,-0.9953201413154602,0.3632541298866272,0.0027953386306762695
