family,wording,anchor,anchor_order,bidirectional_score,suff_label0,suff_label0_ci_low,suff_label0_ci_high,nec_label0,nec_label0_ci_low,nec_label0_ci_high,suff_label1,suff_label1_ci_low,suff_label1_ci_high,nec_label1,nec_label1_ci_low,nec_label1_ci_high
config_command,canonical,SKILL_END,0,-0.004373126430436969,0.00554288737475872,0.00035865791141986847,0.010905235307291143,-0.003318142145872116,-0.009975303057581186,0.0032319712918251744,-0.004373126430436969,-0.00923526692786254,-0.00012800213880836964,-3.289245069026947e-05,-0.004354770970530808,0.005067590135149657
config_command,canonical,SYSTEM_END,1,-0.011426859768107533,0.008926782757043839,0.0042316234204918144,0.013683917000889778,0.009781712666153908,0.005571711249649525,0.014158045966178175,0.013327085180208087,0.007931682578055188,0.01915515220607631,-0.011426859768107533,-0.016584893921390176,-0.006834051804617047
config_command,canonical,ISSUE_END,2,-0.0027821152471005917,0.0031482093036174774,0.0009432584047317505,0.005327692953869698,0.004158139228820801,-0.0001665131654590368,0.008077550726011394,-0.0027821152471005917,-0.009544324385933578,0.004944206512300291,1.994776539504528e-05,-0.004349823808297515,0.0051978901086840775
config_command,canonical,DETAIL_END,3,-0.005387136014178395,-0.0007938258349895477,-0.0033722538501024246,0.0015587424393743272,-0.0017871670424938202,-0.005815232964232564,0.001563042402267456,-0.005387136014178395,-0.011950463231187314,0.0007597356394398949,-4.942063242197037e-06,-0.003473009099252522,0.003445443633245304
config_command,canonical,ACTION0_END,4,1.4001503586769104e-05,0.003303973004221916,0.0006513353437185287,0.006753427907824516,1.4001503586769104e-05,-0.005043637519702315,0.004988076491281389,2.854340709745884e-05,-0.004145889886422083,0.005024973285617307,0.0017790775746107101,-0.0032728518708609045,0.0068445634096860886
config_command,canonical,ACTION1_END,5,0.0007876858580857515,0.004617294296622276,0.0009211971424520016,0.008778128447011108,0.0025749504566192627,-0.004077509883791209,0.009044565260410309,0.0007876858580857515,-0.005397087684832514,0.006157613126561046,0.0009037109557539225,-0.005057483824202791,0.007645065197721124
config_command,canonical,FINAL_INSTRUCTION_END,6,0.009913111105561256,0.009913111105561256,0.006037650629878044,0.013590934546664355,0.01207030564546585,0.009845970198512077,0.014319624425843357,0.03346876404248178,0.027489261934533715,0.04057114425813779,0.016653365222737193,0.014036356878932565,0.02021640606690198
config_command,canonical,USER_END,7,0.0030910782516002655,0.02399791032075882,0.019307413417845965,0.02863194877281785,0.0030910782516002655,-0.01326848967000842,0.018184385774657124,0.13405468594282866,0.11831060045515188,0.14801030714297664,0.08191025583073497,0.0690677770297043,0.09152692203642801
config_command,canonical,GENERATION_BOUNDARY,8,-0.050046829506754875,0.004182459786534309,0.00027060508728027344,0.007528183422982691,0.10481696762144566,0.0887972665950656,0.11979424231685698,0.07889886875636876,0.07116653770208359,0.0856256925035268,-0.050046829506754875,-0.053938436042517426,-0.04597021546214819
config_command,paraphrase,SKILL_END,0,0.0019445177167654037,0.0019445177167654037,-0.002433756273239851,0.006302894745022051,0.004805942997336388,3.207530826330189e-05,0.010344475507736206,0.00765223428606987,0.004909340292215347,0.010368656367063522,0.004834972321987152,0.001128326915204525,0.009106319397687912
config_command,paraphrase,SYSTEM_END,1,0.0025762878358364105,0.003790704533457756,-0.0014707837253808975,0.009567096829414368,0.0035929419100284576,-0.0020409487187862396,0.007751341955736277,0.008683394640684128,0.004278365522623062,0.013131716009229414,0.0025762878358364105,-0.0005278889089822768,0.005585339851677418
config_command,paraphrase,ISSUE_END,2,-9.782612323760986e-06,0.001582522876560688,-0.0025958577170968056,0.007148043252527714,0.0019756117835640907,-0.001171653624624014,0.004784726561047136,0.0022478587925434113,-0.00017386889085173606,0.00556560605764389,-9.782612323760986e-06,-0.0005778648890554905,0.00045404210686683655
config_command,paraphrase,DETAIL_END,3,-0.0034946613013744354,-1.4280900359153748e-05,-0.00480237789452076,0.0053115710616111755,0.001479603350162506,-0.004006106406450272,0.007253470271825786,0.0016242749989032745,-0.0016862090677022934,0.004328014515340327,-0.0034946613013744354,-0.00694742826744914,-0.0007129233330488233
config_command,paraphrase,ACTION0_END,4,-0.0026836171746253967,-0.00027601979672908783,-0.0034676436334848404,0.003225126583129162,0.0023886729031801224,-0.000382494181394577,0.005229003727436066,0.0031287074089050293,0.0006361084058880807,0.0055945132859051205,-0.0026836171746253967,-0.006725445669144392,0.0013299354352056616
config_command,paraphrase,ACTION1_END,5,-0.0031291069462895393,0.00017386674880981445,-0.005632294341921806,0.005427155643701553,-0.0031291069462895393,-0.007028508698567748,0.0007347315549850464,0.0014805570244789124,-0.00028955191373825073,0.003456518054008484,0.0006276331841945648,-0.0005285866558551788,0.0025625577196478843
config_command,paraphrase,FINAL_INSTRUCTION_END,6,0.0045552439987659454,0.0045552439987659454,0.0014944286085665226,0.007909748703241348,0.007830152288079262,0.002664085617288947,0.012252412736415863,0.023164700716733932,0.01902372846379876,0.027231666166335343,0.006048388779163361,0.0034047700464725494,0.008685859944671392
config_command,paraphrase,USER_END,7,0.008896434679627419,0.008896434679627419,0.0044917741790413855,0.013136165402829643,0.013741248287260532,0.009748335927724838,0.018260369077324867,0.03629500791430473,0.030429513193666935,0.041479827556759115,0.016454800963401794,0.011812398489564658,0.021181564778089523
config_command,paraphrase,GENERATION_BOUNDARY,8,-0.011480065062642097,-0.00932422373443842,-0.01280427051242441,-0.004342094995081425,0.005087457597255707,0.0018974753096699716,0.008048422634601593,0.0029953978955745697,-0.0013947730883955955,0.007703565061092374,-0.011480065062642097,-0.015622817073017358,-0.00727543174289167
docs_code,canonical,SKILL_END,0,-0.004450450651347637,-0.004450450651347637,-0.012640235375147312,0.0036801043082959947,-0.00018979422748088837,-0.006361378589645028,0.005781812797067687,0.0005179010331630707,-0.006148762558586896,0.007570456713438034,-0.001696806401014328,-0.005228045815601945,0.002303043380379677
docs_code,canonical,SYSTEM_END,1,-0.001967180985957384,-0.001967180985957384,-0.006197556445840746,0.00039595915004610963,0.0008067190647125244,-0.004964077845215797,0.00652733736205846,0.0008228560909628868,-0.0052368144504725935,0.006740808160975575,0.005928268656134605,-0.0013014484196901318,0.011707039549946785
docs_code,canonical,ISSUE_END,2,-0.002449678722769022,-0.002449678722769022,-0.008989849127829075,0.0039963205344974995,0.0032936702482402325,-0.006711762398481369,0.012670251878444104,0.003482947126030922,0.00048034079372882843,0.007095842342823741,0.0033995183184742928,-0.001959020458161831,0.008275038376450538
docs_code,canonical,DETAIL_END,3,-0.0021903528831899166,-0.0021903528831899166,-0.0067861454677768055,0.00038766348734498024,5.9907324612140656e-06,-0.00011324936058372259,0.00015711887972429394,0.0011201677843928337,-0.0028256718069314957,0.005037873052060604,0.004617233760654926,0.0009422727394849062,0.008975500380620356
docs_code,canonical,ACTION0_END,4,-0.004428944084793329,-0.004428944084793329,-0.008921349886804819,4.991888999938965e-07,-2.2624153643846512e-05,-0.00011224020272493362,5.3264712914824434e-05,0.001726759597659111,-0.0023707570508122444,0.0066471584141254425,-0.002187923528254032,-0.008264214685186743,0.0033146929461508987
docs_code,canonical,ACTION1_END,5,-0.004784480202943087,-0.004784480202943087,-0.013006072002463042,0.0032387143233790954,7.366202771663666e-05,-0.005767070769798011,0.006023326888680458,0.00835363008081913,0.003045441792346537,0.012190959020517762,0.005531203933060169,-0.0028607289306819437,0.012575346394442011
docs_code,canonical,FINAL_INSTRUCTION_END,6,0.002124588470906019,0.002124588470906019,0.00010509912390261888,0.006063232279848308,0.005044765304774046,0.0005851050023920835,0.010258003138005733,0.024607744999229908,0.019769829604774712,0.030376985366456208,0.02076318021863699,0.012554866075515748,0.028907207585871213
docs_code,canonical,USER_END,7,0.010816607158631086,0.021940039936453104,0.014017695398069917,0.02915441009681671,0.010816607158631086,0.0038920524530112743,0.019685457798186683,0.019253142178058624,0.010949099506251513,0.026787333004176614,0.01697204215452075,0.009439038252457977,0.02410126394825056
docs_code,canonical,GENERATION_BOUNDARY,8,-0.07453792355954647,-0.03033063793554902,-0.03951959637925029,-0.021413330524228516,-0.07453792355954647,-0.08361213468015194,-0.06649466608650982,-0.04236375540494919,-0.05265523788984865,-0.03413298639934511,-0.03702221531420946,-0.04844259729143232,-0.02440186496824026
docs_code,paraphrase,SKILL_END,0,-0.003986117662861943,-0.003986117662861943,-0.008746108872583137,0.0004635959456209089,0.003400804242119193,-0.0014850578969344496,0.008507522311992944,0.0026641646400094032,-0.0029024206567555668,0.008891701116226607,-0.0020429017022252083,-0.008003860712051392,0.0038982724305242295
docs_code,paraphrase,SYSTEM_END,1,-0.0016174325719475746,-0.0016174325719475746,-0.004753602668642998,0.0017991530592553315,0.0030262868385761976,-0.0021159739699214697,0.008244999696034937,0.010318951681256294,0.004374001338146627,0.015900613740086555,0.000935613177716732,-0.0058273128001019355,0.006783160590566691
docs_code,paraphrase,ISSUE_END,2,-0.005248422734439373,0.0042542340233922005,-0.003262686944799497,0.01243036663508974,-0.005005571059882641,-0.008762190351262689,-0.0017079960671253615,-0.002935066819190979,-0.006446698703803122,0.000340794213116169,-0.005248422734439373,-0.010630485601723194,-0.0013333065435290337
docs_code,paraphrase,DETAIL_END,3,-0.0030802423134446144,0.004348148591816425,-0.0012049349024891853,0.010778038046555593,0.00480210711248219,-0.001135731115937233,0.011892972496571017,0.0024947673082351685,-0.0024489108473062515,0.007842275314033031,-0.0030802423134446144,-0.00768108838237822,0.0001520929625257849
docs_code,paraphrase,ACTION0_END,4,9.511876851320267e-05,0.002175197470933199,-0.004993471427587793,0.009132622939068816,0.006881600944325328,0.0027356836944818497,0.01114924693247303,0.00045079272240400314,-0.00446004569530487,0.00564824566245079,9.511876851320267e-05,-0.005246357433497906,0.005489218980073929
docs_code,paraphrase,ACTION1_END,5,-0.0019425349310040474,-0.00123026710934937,-0.006415591470431537,0.0028959501069039106,0.0017279305029660463,-0.0023615244892425833,0.006502378731966019,0.010030285455286503,0.00255578535143286,0.016912346705794334,-0.0019425349310040474,-0.006174706853926182,0.0002923481166362762
docs_code,paraphrase,FINAL_INSTRUCTION_END,6,0.005177455255761743,0.008763395715504885,0.004242646740749478,0.013509027688996865,0.005177455255761743,0.00128363654948771,0.009076482296222821,0.0399659788236022,0.029237607843242586,0.049591148272156715,0.036421917378902435,0.028802659292705358,0.045379577740095524
docs_code,paraphrase,USER_END,7,0.005511899013072252,0.026075948029756546,0.020596304442733526,0.03136608540080488,0.005511899013072252,-0.002865819283761084,0.013866542838513851,0.03193329181522131,0.02048702279571444,0.041958236531354484,0.040819114074110985,0.0307919904589653,0.05147879673168063
docs_code,paraphrase,GENERATION_BOUNDARY,8,-0.09968540142290294,-0.0699546872638166,-0.08097652369178832,-0.05806341248098763,-0.08000192604959011,-0.08726367373019457,-0.0712232119170949,-0.05666424985975027,-0.07151933177374303,-0.044204098940826955,-0.09968540142290294,-0.1163565703725908,-0.08436996897798966
search_edit,canonical,SKILL_END,0,-0.00010390300303697586,0.002941777231171727,-0.003963054623454809,0.010890406789258122,0.000500246649608016,-0.0021659155667293818,0.0035334381333086595,-0.00010390300303697586,-0.007167953974567353,0.00686833276413381,0.0024711452424526215,-0.0003081961767747998,0.007297582784667609
search_edit,canonical,SYSTEM_END,1,-0.007749047130346298,-0.0034594933968037367,-0.011788978747790679,0.003647955995984364,0.004449352156370878,-0.0005243001505732536,0.009282422409160062,-0.004621056839823723,-0.01075098835863173,0.0005859942873939871,-0.007749047130346298,-0.015027306042611599,-0.002359524788334968
search_edit,canonical,ISSUE_END,2,-0.005031331442296505,0.0036660421174019575,-0.0022310709289740773,0.010276884649647386,0.001970277400687337,-0.0009898670658003538,0.006852200056891886,-0.0025512659922242165,-0.010138222947716713,0.004991845227777958,-0.005031331442296505,-0.011753867380321026,-0.00013260049745440528
