fold,task_idx,task_id,recipient_condition,recipient_wording,relation,config,group_size,control_id,value,early_effect
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,1,0.0035452842712402344,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,2,-0.0006435513496398926,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,2,0.0026565194129943848,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,3,-0.0019465088844299316,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,3,0.002432584762573242,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,4,-0.0002084970474243164,0.1133958101272583
0,3,task_003,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,4,0.0032994747161865234,0.1133958101272583
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.0033330321311950684,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.005832791328430176,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,early_selector_effect,0,-1,0.15128350257873535,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top256_sufficiency,256,-1,-0.00711512565612793,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top256_necessity_loss,256,-1,-0.0021836161613464355,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top64_sufficiency,64,-1,-0.01268082857131958,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top64_necessity_loss,64,-1,0.00047457218170166016,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top1024_sufficiency,1024,-1,-0.017167210578918457,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.010843813419342041,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,0,0.0015950798988342285,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,0,0.00038939714431762695,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,1,-0.009076297283172607,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,1,-0.0016154646873474121,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,2,-0.0011747479438781738,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,2,-0.002422928810119629,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,3,-0.009880363941192627,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,3,0.0004329085350036621,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,4,9.256601333618164e-05,0.15128350257873535
0,3,task_003,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,4,0.0010780692100524902,0.15128350257873535
0,3,task_003,canonical_test,canonical,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,-0.009444713592529297,0.04719948768615723
0,3,task_003,canonical_test,canonical,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.002537369728088379,0.04719948768615723
0,3,task_003,canonical_impl,canonical,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,0.013560771942138672,0.1420968770980835
0,3,task_003,canonical_impl,canonical,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.0008472800254821777,0.1420968770980835
0,3,task_003,paraphrase_test,paraphrase,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,0.00838536024093628,0.029629170894622803
0,3,task_003,paraphrase_test,paraphrase,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,0.0061560869216918945,0.029629170894622803
0,3,task_003,paraphrase_impl,paraphrase,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,-0.009071886539459229,0.215748131275177
0,3,task_003,paraphrase_impl,paraphrase,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.006455123424530029,0.215748131275177
0,7,task_007,canonical_test,canonical,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.018220365047454834,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.014588475227355957,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,early_selector_effect,0,-1,0.03495234251022339,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top256_sufficiency,256,-1,0.00403827428817749,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top256_necessity_loss,256,-1,0.0015091300010681152,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top64_sufficiency,64,-1,0.001394510269165039,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top64_necessity_loss,64,-1,0.00014251470565795898,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top1024_sufficiency,1024,-1,0.010020434856414795,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,top1024_necessity_loss,1024,-1,0.0016654133796691895,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,0,-0.0002919435501098633,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,0,-0.008985519409179688,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,1,-0.0005321502685546875,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,1,-0.008985757827758789,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,2,0.001523137092590332,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,2,-3.653764724731445e-05,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,3,0.0011541247367858887,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,3,-0.001290440559387207,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,4,-0.00012922286987304688,0.03495234251022339
0,7,task_007,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,4,-0.00894993543624878,0.03495234251022339
0,7,task_007,canonical_impl,canonical,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.014794707298278809,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.017162740230560303,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,early_selector_effect,0,-1,0.0478287935256958,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top256_sufficiency,256,-1,-0.009716987609863281,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top256_necessity_loss,256,-1,0.003032088279724121,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top64_sufficiency,64,-1,-0.010509490966796875,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top64_necessity_loss,64,-1,-0.0023936033248901367,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top1024_sufficiency,1024,-1,0.005145251750946045,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.004387021064758301,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,0,-0.013526856899261475,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,0,8.404254913330078e-06,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,1,-0.0042664408683776855,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,1,0.008083999156951904,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,2,-0.0004928708076477051,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,2,0.008362889289855957,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,3,-0.002724170684814453,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,3,-0.0028523802757263184,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,4,-0.004382610321044922,0.0478287935256958
0,7,task_007,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,4,5.781650543212891e-06,0.0478287935256958
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.01814669370651245,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.018100976943969727,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,early_selector_effect,0,-1,0.07214474678039551,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top256_sufficiency,256,-1,-0.0032343268394470215,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top256_necessity_loss,256,-1,-0.004687249660491943,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top64_sufficiency,64,-1,-0.0013401508331298828,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top64_necessity_loss,64,-1,-0.00039076805114746094,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top1024_sufficiency,1024,-1,-0.01573169231414795,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.016146063804626465,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,0,-0.007563173770904541,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,0,-5.2809715270996094e-05,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,1,-0.006870388984680176,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,1,-0.00018864870071411133,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,2,-0.007408022880554199,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,2,-4.583597183227539e-05,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,3,0.0028492212295532227,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,3,-5.1140785217285156e-05,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,4,-0.0015414953231811523,0.07214474678039551
0,7,task_007,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,4,-0.00016373395919799805,0.07214474678039551
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.018191158771514893,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.014308631420135498,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,early_selector_effect,0,-1,0.08147531747817993,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top256_sufficiency,256,-1,-0.0017504096031188965,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top256_necessity_loss,256,-1,-0.007484078407287598,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top64_sufficiency,64,-1,-0.00021904706954956055,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top64_necessity_loss,64,-1,-0.004159390926361084,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top1024_sufficiency,1024,-1,-0.01455998420715332,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.01829630136489868,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,0,0.0015445947647094727,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,0,-0.0031684041023254395,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,1,0.0014393925666809082,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,1,-0.00012922286987304688,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,2,0.0014525651931762695,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,2,-0.001438915729522705,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,3,-8.004903793334961e-05,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,3,0.007952630519866943,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_sufficiency,256,4,-9.304285049438477e-05,0.08147531747817993
0,7,task_007,paraphrase_impl,paraphrase,opposite_same_wording,random256_necessity_loss,256,4,0.00015145540237426758,0.08147531747817993
0,7,task_007,canonical_test,canonical,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,-0.005530834197998047,-0.005531191825866699
0,7,task_007,canonical_test,canonical,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.003399968147277832,-0.005531191825866699
0,7,task_007,canonical_impl,canonical,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,-0.005141079425811768,0.150182843208313
0,7,task_007,canonical_impl,canonical,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,0.005199432373046875,0.150182843208313
0,7,task_007,paraphrase_test,paraphrase,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,0.0035413503646850586,0.07834666967391968
0,7,task_007,paraphrase_test,paraphrase,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.0010916590690612793,0.07834666967391968
0,7,task_007,paraphrase_impl,paraphrase,opposite_cross_wording,top256_sufficiency_cross_wording,256,-1,-0.006170392036437988,0.03731578588485718
0,7,task_007,paraphrase_impl,paraphrase,opposite_cross_wording,top256_necessity_loss_cross_wording,256,-1,-0.00980532169342041,0.03731578588485718
0,11,task_011,canonical_test,canonical,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.013369441032409668,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.018074631690979004,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,early_selector_effect,0,-1,0.007789134979248047,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top256_sufficiency,256,-1,-0.007762908935546875,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top256_necessity_loss,256,-1,-0.0022261738777160645,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top64_sufficiency,64,-1,-0.005757808685302734,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top64_necessity_loss,64,-1,-0.0039020776748657227,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top1024_sufficiency,1024,-1,0.00896143913269043,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.006704211235046387,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,0,0.0015799999237060547,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,0,-7.998943328857422e-05,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,1,0.0008195638656616211,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,1,-0.008475899696350098,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,2,0.0007607936859130859,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,2,0.0018616318702697754,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,3,0.0037969350814819336,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,3,-0.00855708122253418,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_sufficiency,256,4,-9.644031524658203e-05,0.007789134979248047
0,11,task_011,canonical_test,canonical,opposite_same_wording,random256_necessity_loss,256,4,-0.008504390716552734,0.007789134979248047
0,11,task_011,canonical_impl,canonical,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.017394423484802246,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.017789483070373535,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,early_selector_effect,0,-1,0.02000260353088379,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top256_sufficiency,256,-1,0.00962221622467041,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top256_necessity_loss,256,-1,-0.0018052458763122559,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top64_sufficiency,64,-1,1.9431114196777344e-05,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top64_necessity_loss,64,-1,-0.001508951187133789,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top1024_sufficiency,1024,-1,0.007449328899383545,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.012327134609222412,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,0,0.0008907318115234375,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,0,0.001212477684020996,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,1,0.0017260313034057617,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,1,0.00038188695907592773,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,2,0.00220644474029541,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,2,0.0012006163597106934,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,3,0.0013979673385620117,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,3,0.0019439458847045898,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_sufficiency,256,4,0.001683652400970459,0.02000260353088379
0,11,task_011,canonical_impl,canonical,opposite_same_wording,random256_necessity_loss,256,4,0.0022365450859069824,0.02000260353088379
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,all_mlp_sufficiency,151552,-1,-0.01304614543914795,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,all_mlp_necessity_loss,151552,-1,-0.022406160831451416,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,early_selector_effect,0,-1,0.05860191583633423,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top256_sufficiency,256,-1,-0.0028488636016845703,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top256_necessity_loss,256,-1,-0.014380931854248047,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top64_sufficiency,64,-1,-0.0020793676376342773,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top64_necessity_loss,64,-1,-0.012215495109558105,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top1024_sufficiency,1024,-1,-0.01652812957763672,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,top1024_necessity_loss,1024,-1,-0.02372044324874878,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,0,0.0023163557052612305,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,0,0.000700831413269043,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,random256_sufficiency,256,1,-0.0006706714630126953,0.05860191583633423
0,11,task_011,paraphrase_test,paraphrase,opposite_same_wording,random256_necessity_loss,256,1,0.0013949871063232422,0.05860191583633423
