k,sufficiency_mean,sufficiency_ci_low,sufficiency_ci_high,necessity_loss_mean,necessity_ci_low,necessity_ci_high
256,-0.0014082457249363263,-0.002209416551825901,-0.0006053133169189104,-0.0013894497727354367,-0.0022692334838211536,-0.00047695760925610875
64,-8.153729140758514e-06,-0.0007139359678452214,0.0007450663251802318,-0.00026549243678649265,-0.0010873969333867232,0.0005701110698282715
1024,-0.007019331989188989,-0.008249229091840485,-0.005789650557562709,-0.011605691475172838,-0.013107037055306137,-0.01010777287495633
