config,relation,control_id,mean,ci_low,ci_high,num_tasks
all_mlp_necessity_loss,opposite_same_wording,-1,-0.014476300527652105,-0.01712910298568507,-0.011692345739963155,48
all_mlp_sufficiency,opposite_same_wording,-1,-0.014129634946584702,-0.01673946693384399,-0.011403311967539291,48
early_selector_effect,opposite_same_wording,-1,0.07839944617201884,0.07179377031667779,0.0849939953147744,48
random256_necessity_loss,opposite_same_wording,0,2.2071413695812225e-05,-0.0004334822529926896,0.0004874662496149538,48
random256_necessity_loss,opposite_same_wording,1,3.4260873993237816e-05,-0.0005952773382887244,0.0007006954867392776,48
random256_necessity_loss,opposite_same_wording,2,0.00017197181781133017,-0.00047573484480381014,0.0008349271491169923,48
random256_necessity_loss,opposite_same_wording,3,-0.0002569059530893962,-0.0010634056758135556,0.0006017214385792602,48
random256_necessity_loss,opposite_same_wording,4,-2.3733203609784446e-06,-0.0007192361789445082,0.0007719255595778425,48
random256_sufficiency,opposite_same_wording,0,-0.00045512306193510693,-0.0011460816953331233,0.0002167628612369296,48
random256_sufficiency,opposite_same_wording,1,-0.0006568726773063341,-0.0012113276481007537,-9.462502008924895e-05,48
random256_sufficiency,opposite_same_wording,2,-9.585265070199966e-05,-0.0006502987118437886,0.00046817617646108023,48
random256_sufficiency,opposite_same_wording,3,-0.0002517042060693105,-0.0009145229201142986,0.0004466216157500937,48
random256_sufficiency,opposite_same_wording,4,-0.0003608974317709605,-0.0009983031234393517,0.0002446032206838311,48
top1024_necessity_loss,opposite_same_wording,-1,-0.011605691475172838,-0.013107037055306137,-0.01010777287495633,48
top1024_sufficiency,opposite_same_wording,-1,-0.007019331989188989,-0.008249229091840485,-0.005789650557562709,48
top256_necessity_loss,opposite_same_wording,-1,-0.0013894497727354367,-0.0022692334838211536,-0.00047695760925610875,48
top256_necessity_loss_cross_wording,opposite_cross_wording,-1,-0.0012795769919951756,-0.002014822078247865,-0.0005356373032554988,48
top256_sufficiency,opposite_same_wording,-1,-0.0014082457249363263,-0.002209416551825901,-0.0006053133169189104,48
top256_sufficiency_cross_wording,opposite_cross_wording,-1,-0.001352831410864989,-0.001988744627063473,-0.0007310937857255349,48
top64_necessity_loss,opposite_same_wording,-1,-0.00026549243678649265,-0.0010873969333867232,0.0005701110698282715,48
top64_sufficiency,opposite_same_wording,-1,-8.153729140758514e-06,-0.0007139359678452214,0.0007450663251802318,48
